User ID,Area code,Location,Gender,YOB,Marital Status,Activity,Budget,Cuisines,Alcohol
67,111,"China Town, NY",Male,2009,Single,Student,3,Seafood,
68,154,"Market City, NY",Male,2000,Married,Professional,3,Indian,
69,111,"China Town, NY",Male,1961,Married,Student,4,French,
70,107,"Riverdale,NY",Female,1998,Single,Student,1,Italian,
71,154,"Market City, NY",Male,1957,Married,Student,5,Japanese,
72,123,"St. George,NY",Male,2006,Single,Student,5,Filipino,
73,123,"St. George,NY",Male,1962,Married,Professional,4,Indian,
74,153,"Upper East Side,NY",Male,1994,Married,Student,3,Indian,
75,123,"St. George,NY",Male,2002,Single,Student,3,Filipino,
76,154,"Market City, NY",Male,1955,Married,Professional,3,Indian,
77,129,"Central Park,NY",Male,1974,Single,Professional,3,Filipino,
78,153,"Upper East Side,NY",Male,1979,Single,Student,5,Chinese,
79,111,"China Town, NY",Male,1965,Married,Professional,3,Seafood,
80,111,"China Town, NY",Female,1998,Single,Student,1,Filipino,
81,154,"Market City, NY",Female,1974,Married,Professional,4,French,
82,153,"Upper East Side,NY",Male,1964,Married,Professional,4,Chinese,
83,122,"Upper West Side,NY",Male,1996,Married,Student,4,French,
84,154,"Market City, NY",Male,1981,Married,Student,5,Japanese,
85,153,"Upper East Side,NY",Female,1978,Divorced,Student,4,Chinese,
86,107,"Riverdale,NY",Male,1999,Single,Student,4,Japanese,
87,123,"St. George,NY",Male,1961,Married,Professional,4,Filipino,
88,129,"Central Park,NY",Female,2007,Single,Professional,5,French,
89,122,"Upper West Side,NY",Female,2003,Married,Professional,4,French,
90,123,"St. George,NY",Male,1988,Divorced,Professional,3,Indian,
91,154,"Cedar Hill, NY",Male,1960,Married,Professional,4,Indian,
92,111,"China Town, NY",Male,1969,Divorced,Professional,3,French,
93,123,"St. George,NY",Male,2000,Single,Professional,5,French,
94,107,"Riverdale,NY",Female,1985,Married,Student,5,Filipino,
95,111,"China Town, NY",Male,1974,Married,Student,3,Indian,
96,123,"St. George,NY",Female,1982,Single,Professional,4,French,
97,122,"Upper West Side,NY",Female,2000,Married,Student,4,Chinese,
98,123,"St. George,NY",Female,2006,Single,Professional,5,Japanese,
99,123,"St. George,NY",Male,2002,Married,Student,3,Filipino,
100,153,"Upper East Side,NY",Male,2005,Married,Student,4,French,
101,117,"Upper East Side,NY",Female,2006,Single,Professional,3,Japanese,
102,192,"St. George,NY",Female,1991,Married,Student,4,Indian,
103,137,"Upper West Side,NY",Male,1977,Single,Student,5,Seafood,
104,121,"Upper East Side,NY",Female,1956,Married,Professional,5,Japanese,
105,198,"Central Park,NY",Male,1997,Single,Student,4,Filipino,
106,172,"China Town, NY",Male,1995,Single,Student,5,Seafood,
107,188,"China Town, NY",Female,1977,Married,Professional,5,Indian,
108,166,"Upper East Side,NY",Female,2003,Single,Professional,3,Filipino,
109,124,"Riverdale,NY",Male,1965,Single,Student,5,Italian,
110,129,"Central Park,NY",Male,1995,Single,Student,4,Chinese,
111,131,"St. George,NY",Female,1975,Married,Professional,4,French,
112,149,"St. George,NY",Male,1963,Married,Student,4,Chinese,
113,101,"St. George,NY",Female,2006,Single,Professional,5,Chinese,
114,104,"Riverdale,NY",Male,1980,Single,Student,5,Italian,
115,140,"Riverdale,NY",Male,1956,Married,Student,3,Filipino,
116,145,"Upper East Side,NY",Female,1956,Married,Student,3,French,
117,159,"Riverdale,NY",Male,2007,Single,Student,5,Seafood,
118,195,"Upper East Side,NY",Male,2004,Single,Student,3,Japanese,
119,105,"Central Park,NY",Male,2001,Single,Student,3,Filipino,
120,198,"Central Park,NY",Male,1959,Married,Student,4,Seafood,
121,130,"St. George,NY",Female,2009,Single,Student,3,Indian,
122,139,"Upper East Side,NY",Female,1983,Married,Professional,5,Italian,
123,111,"Riverdale,NY",Female,1971,Married,Professional,5,Chinese,
124,113,"Market City, NY",Male,1974,Divorced,Professional,1,Seafood,
125,123,"Central Park,ny",Male,1963,Single,Professional,3,Indian,
126,127,"St. George,NY",Male,1969,Single,Professional,3,Japanese,
127,134,"Central Park,NY",Female,2001,Single,Student,3,Indian,
128,148,"China Town, NY",Male,2000,Single,Student,5,Indian,
129,154,"Market City, NY",Female,1977,Married,Student,4,French,
130,158,"Market City, NY",Female,1988,Married,Student,5,Seafood,
131,159,"Riverdale,NY",Female,1999,Married,Student,4,Chinese,
132,159,"Market City, MY",Male,1971,Married,Student,1,Indian,
133,161,"Upper West Side,NY",Male,1995,Single,Professional,3,Indian,
134,167,"Central Park,ny",Female,2009,Single,Professional,5,Indian,
135,172,"Central Park,NY",Male,2001,Divorced,Student,1,Japanese,
136,176,"Riverdale,NY",Male,1998,Single,Professional,5,Japanese,
137,110,"Market City, NY",Male,2006,Single,Student,4,Japanese,
138,120,"St. George,NY",Female,1990,Single,Student,5,French,
139,131,"Upper East Side,NY",Male,1987,Married,Student,4,French,
140,137,"St. George,NY",Male,1986,Single,Student,4,Filipino,
141,142,"Central Park,NY",Male,2001,Single,Student,2,Seafood,
142,162,"Market City, NY",Female,1967,Single,Student,5,Filipino,
143,173,"St. George,NY",Male,1985,Married,Student,5,Japanese,
144,184,"Central Park,NY",Male,2000,Single,Student,3,French,
145,199,"St. George,NY",Female,1969,Married,Professional,3,Italian,
146,102,"China Town, NY",Male,1976,Married,Student,3,Chinese,
147,106,"Central Park,ny",Male,1976,Single,Professional,3,French,
148,113,"Upper West Side,NY",Female,1987,Married,Professional,3,Seafood,
149,142,"China Town, NY",Male,1998,Single,Student,3,Seafood,
150,157,"Riverdale,NY",Female,1974,Married,Student,5,Japanese,
151,185,"Riverdale,NY",Female,2007,Single,Student,4,Japanese,
152,147,"Upper East Side,NY",Female,2005,Single,Student,3,Chinese,
153,183,"Upper East Side,NY",Female,1974,Single,Professional,4,Chinese,
154,138,"St. George,NY",Male,1989,Single,Professional,5,Filipino,
155,136,"Riverdale,NY",Female,1958,Single,Professional,5,Filipino,
156,169,"Upper West Side,NY",Female,1991,Single,Professional,4,Filipino,
157,176,"St. George,NY",Female,1981,Divorced,Student,2,Italian,
158,196,"Central Park,ny",Male,1962,Married,Professional,3,Filipino,
159,175,"St. George,NY",Male,1964,Single,Student,5,Japanese,
160,135,"Upper West Side,NY",Male,1959,Married,Professional,5,Italian,
161,124,"Central Park,NY",Female,2003,Single,Student,4,Japanese,
162,125,"Upper West Side,NY",Female,1955,Divorced,Professional,4,Japanese,
163,158,"St. George,NY",Male,2002,Single,Student,4,Japanese,
164,186,"Upper East Side,NY",Female,1989,Married,Student,5,Italian,
165,176,"Central Park,NY",Female,1996,Single,Student,4,Italian,
166,194,"Riverdale,NY",Male,1975,Married,Student,4,French,
167,173,"China Town, NY",Male,2009,Single,Student,3,Seafood,
168,182,"Market City, NY",Male,2000,Married,Professional,3,Indian,
169,196,"China Town, NY",Male,1961,Married,Student,4,French,
170,197,"Riverdale,NY",Female,1998,Single,Student,1,Italian,
171,176,"Market City, NY",Male,1957,Married,Student,5,Japanese,
172,169,"St. George,NY",Male,2006,Single,Student,5,Filipino,
173,184,"St. George,NY",Male,1962,Married,Professional,4,Indian,
174,192,"Upper East Side,NY",Male,1994,Married,Student,3,Indian,
175,135,"St. George,NY",Male,2002,Single,Student,3,Filipino,
176,186,"Market City, NY",Male,1955,Married,Professional,3,Indian,
177,175,"Central Park,NY",Male,1974,Single,Professional,3,Filipino,
178,179,"Upper East Side,NY",Male,1979,Single,Student,5,Chinese,
179,149,"China Town, NY",Male,1965,Married,Professional,3,Seafood,
180,139,"China Town, NY",Female,1998,Single,Student,1,Filipino,
181,163,"Market City, NY",Female,1974,Married,Professional,4,French,
182,162,"Upper East Side,NY",Male,1964,Married,Professional,4,Chinese,
183,162,"Upper West Side,NY",Male,1996,Married,Student,4,French,
184,166,"Market City, NY",Male,1981,Married,Student,5,Japanese,
185,158,"Upper East Side,NY",Female,1978,Divorced,Student,4,Chinese,
186,136,"Riverdale,NY",Male,1999,Single,Student,4,Japanese,
187,186,"St. George,NY",Male,1961,Married,Professional,4,Filipino,
188,137,"Central Park,NY",Female,2007,Single,Professional,5,French,
189,154,"Upper West Side,NY",Female,2003,Married,Professional,4,French,
190,167,"St. George,NY",Male,1988,Divorced,Professional,3,Indian,
191,185,"Cedar Hill, NY",Male,1960,Married,Professional,4,Indian,
192,178,"China Town, NY",Male,1969,Divorced,Professional,3,French,
193,105,"St. George,NY",Male,2000,Single,Professional,5,French,
194,103,"Riverdale,NY",Female,1985,Married,Student,5,Filipino,
195,107,"China Town, NY",Male,1974,Married,Student,3,Indian,
196,175,"St. George,NY",Female,1982,Single,Professional,4,French,
197,170,"Upper West Side,NY",Female,2000,Married,Student,4,Chinese,
198,160,"St. George,NY",Female,2006,Single,Professional,5,Japanese,
199,130,"St. George,NY",Male,2002,Married,Student,3,Filipino,
200,140,"Upper East Side,NY",Male,2005,Married,Student,4,French,
